anno;cantone;CPA_2_1_descr;misura;statistica;valore
2016;Svizzera;22 Articoli in gomma e materie plastiche;Tot_complessivo_in_fr.;esportazioni;3636862433.26
2016;Svizzera;22 Articoli in gomma e materie plastiche;Tot_complessivo_in_fr.;importazioni;5254204191.13
2016;Svizzera;23 Altri prodotti della lavorazione di minerali non metalliferi;Tot_congiunturale_in_fr.;esportazioni;1160021307.48
2016;Svizzera;23 Altri prodotti della lavorazione di minerali non metalliferi;Tot_congiunturale_in_fr.;importazioni;2595796132.34
2016;Svizzera;23 Altri prodotti della lavorazione di minerali non metalliferi;Tot_complessivo_in_fr.;esportazioni;1160021307.48
2016;Svizzera;23 Altri prodotti della lavorazione di minerali non metalliferi;Tot_complessivo_in_fr.;importazioni;2595796132.34
2016;Svizzera;24 Metalli;Tot_congiunturale_in_fr.;esportazioni;3194854301.79
2016;Svizzera;24 Metalli;Tot_congiunturale_in_fr.;importazioni;5340277731.46
2016;Svizzera;24 Metalli;Tot_complessivo_in_fr.;esportazioni;85572013072.87
2016;Svizzera;24 Metalli;Tot_complessivo_in_fr.;importazioni;89348514540.47
2016;Svizzera;25 Prodotti in metallo, esclusi macchine e impianti;Tot_congiunturale_in_fr.;esportazioni;5441116660.12
2016;Svizzera;25 Prodotti in metallo, esclusi macchine e impianti;Tot_congiunturale_in_fr.;importazioni;6044434100.28
2016;Svizzera;25 Prodotti in metallo, esclusi macchine e impianti;Tot_complessivo_in_fr.;esportazioni;5441116660.12
2016;Svizzera;25 Prodotti in metallo, esclusi macchine e impianti;Tot_complessivo_in_fr.;importazioni;6044434100.28
2016;Svizzera;26 Prodotti informatici, elettronici ed ottici;Tot_congiunturale_in_fr.;esportazioni;30278992318.61
2016;Svizzera;26 Prodotti informatici, elettronici ed ottici;Tot_congiunturale_in_fr.;importazioni;16473578117.88
2016;Svizzera;26 Prodotti informatici, elettronici ed ottici;Tot_complessivo_in_fr.;esportazioni;30278992318.61
